ID,Comentario de Cliente,temática
3114,Hola hasta cuando son las ofertas de mil pesos,"
Ofertas de Wallmart."
3117,"@LIDERcl compre unas empanadas de cóctel de queso y las iba a consumir y me encuentro q tienen  hongos, me comunique con líder por instagram y la solución es q vaya yo a cambiarlas y quien paga la locomoción?? Me sale más caro ir y volver que las mismas empanadas","

Quejas por producto defectuoso."
3118,@LIDERcl es jueves por la tarde y todavía no me llega el #pedido del lunes. No llaman. No informan nada. El call center no puede hacer nada y #nada saben. Escalan y siguen sin dar señales de vida. Pésimo #niveldeservicio y #cero #respeto por el #cliente,"
Nivel de servicio y respeto por el cliente."
3119,Llevo muchos días tratando de comprar y no puedo la página no deja pagar por otros medios o tarjetas,"
Problemas con el pago en línea en Wallmart."
3119,Llevo muchos días tratando de comprar y no puedo la página no deja pagar por otros medios o tarjetas,"
Problemas de pago en la página web de Wallmart."
3121,"Hola Hice una compra el día de hoy de mercadería de mi casa, entre todo, compré unas frambuesa, las cuales al llegar a casa las encuentro podridas y con hongos","
Calidad de los productos de Wallmart."
3132,"@LIDERcl buenas noches quisiera saber sobre este pedido, aún no ha llegado. Gracias https://t.co/fxdgnM3RAO","
Consulta sobre el estado de un pedido."
3132,"@LIDERcl buenas noches quisiera saber sobre este pedido, aún no ha llegado. Gracias https://t.co/fxdgnM3RAO","
Consulta sobre un pedido."
3134,No hay ni 100 productos a mil...fome el lider,"
Descontento con la oferta de productos en Wallmart."
3150,"@LIDERcl mi compra llego con la caja abierta, aun espero que de servicio al cliente me llamen, necesito cambiar el producto de forma presencial y me indican que no puedo, que debo esperar a que me contacten. https://t.co/7Cd6brbahO","
Servicio al cliente de Wallmart."
3154,Buenas noches.  Hace más de 2 semanas escribí por una mosca qye me salió en el aceite de oliva y hasta el día de hoy no tengo respuesta . 😡. Antes el servicio era bueno,"
Calidad del servicio de atención al cliente de Wallmart."
3157,Dicen desde Arica a punta arenas y no llega a todo los lugares 😡,"

El servicio de entrega de Wallmart."
3162,Y cuando será eficientes en ma devolución de dineros por compras no entregadas?,"
Devolución de dineros por compras no entregadas."
3164,Una consulta Hasta cuando esta la promoción de los productos a mil,"
Promoción de productos."
3170,"@voyvuelv0 @LIDERcl @SERNAC Hice la denuncia en enero, ahí se dió la orden de devolución y no ha pasado nada 🤷🏻‍♀️ @pulicitha @LIDERcl Es mucha plata para mí, voy a ir presencial si es necesario, porque no puedo regalar mis lucas, son unos sinvergüenza @LIDERcl ladrones #NoComprenEnLider","

La falta de devolución de dinero por parte de Líder."
3172,"La mayoría de los productos está de tamaño chico , quede sorprendida el te de 1000 peso es una cajita de 40 bolsa y el arroz Miraflores  siempre la compro tamaño normal...  pero el  tamaño pequeño parece que echara cualquier arroz para precio económico viene asquerosa.. cada vez los  empresario nos caga...","

Calidad de los productos de Walmart."
3173,"Pésima atención, te cambian los productos por otros inferiores y te envían productos a 1 o 2 días de vencer. Hay que revisar con lupa cuando llegan las cosas.","
Mala atención al cliente y calidad de los productos en Wallmart."
3179,Lider en choreo!!...aùn no recibo la devolución de mi dinero por la ocurrencia de la mente mediocre de Matías Puente Solari de vender productos sin stock!...pedazo de gerente que se gastan mangan de mediocres!!...se han demorado más de un mes en reponer el dinero!!!...Líder pero de la mediocridad!......hasta le wn que contesta los reclamos de Sernac a nombre de Lider es un mediocre máximo!!,"

Reclamo por devolución de dinero por productos sin stock en Walmart."
3181,"Hola buen dia ayer fui a una de sus sucursales en puente alto El shampoo ,balsamo y jabon ballerina se suponia que estaban a 1000 pesos","
Precio de productos en una sucursal de Wallmart."
3181,"Hola buen dia ayer fui a una de sus sucursales en puente alto El shampoo ,balsamo y jabon ballerina se suponia que estaban a 1000 pesos","
Precio de productos en Wallmart."
3182,"A también me pa lo mismo compre una cáma el w4 de febrero, y llegaría el 28 de febrero, no llego nada llame a un ejecutivo en 2 ocasiones y nada que llega el producto y de paso te dicen ingrese en tal página, llame a tal call center pero no te resulven nada por en no compres en lider es malo el servicio por Internet ojo","

El servicio de entrega de productos por Internet de Wallmart."
3185,@LIDERcl use la lider app y me llegaron huevos podridos. Reclame por todos los canales y nadie responde,"
Reclamo por producto en mal estado recibido."
3189,"@Staaerdust @LIDERcl @SERNAC si el problema es que no tengo boleta asociada y sernac la pide, igual llenare el formulario","

Reclamo de un cliente de Wallmart por no tener boleta asociada."
3194,"En menos tiempo laja que publicidad más engañosa la gran mayoría de los productos no están disponible. Horrible la atención en líder aún espero una devolución de mi dinero ya van más de 20 días de espera y sin obtener información, al llamar la respuesta es van agilizar el trámite para su pronta devolución. No queda otra que derivar el caso al Sernac","

Mala atención al cliente y publicidad engañosa en Wallmart."
3194,"En menos tiempo laja que publicidad más engañosa la gran mayoría de los productos no están disponible. Horrible la atención en líder aún espero una devolución de mi dinero ya van más de 20 días de espera y sin obtener información, al llamar la respuesta es van agilizar el trámite para su pronta devolución. No queda otra que derivar el caso al Sernac","
Mala atención al cliente y publicidad engañosa de Wallmart."
3205,"No hagan ni tal de comprar por Internet...sigo esperando la devolución del dinero de una compra anulada, los mensajes directos por acá o por whatsapp no sirven, no contestan ni siquiera después de una semana","
Devolución de dinero por compra anulada."
3206,"Esto es increíble. Del miércoles no me llega mi mercadería, son productos de primera necesidad para mis hijos. Llamo y llamo y lo único que me dicen por redes sociales es que ingresarán una insistencia y que está en gestión. Llamo y me dejaron en espera las tres veces y luego cortan. Cómo es posible que aún ninguna respuesta, nadaaa. Pero para cobrar la hicieron de una","

Incumplimiento de entrega de mercadería por parte de Wallmart."
3208,hola buenas noches quisiera hablar sobre un problema que tuve hoy con mi mamá abrimos un paquete de arroz y habían gusanos el paquete no esta vencido ni nada,"
Problemas con productos comprados en Walmart."
3211,Hola Aún está todo a mil?,"
Disponibilidad de productos."
3216,hasta cuando está el lider a mil?,"
Precio de los productos en Wallmart."
3218,Hola aun están la promo mil productos a mil? En los supermercados,"
Promociones en Wallmart."
3232,"Aquí en Chile el @LIDERcl ya retiró los aceites y la harina, hace unos días tenían stock suficiente ahora en las góndolas no hay stock, subirán los precios y los van a reponer!","
Escasez de productos en el supermercado Lider."
3233,Imposible comprar por su página o aplicación. Mi marido tampoco pudo.,"
Experiencia de compra en línea en Wallmart."
3236,@LIDERcl primera vez q uso su sistema de delivery y muy malo!!! no me llegaron cosas... reclamo por los canales oficiales y nadie se hace cargo! cero % recomendado!,"

Reclamo por un servicio de delivery de LIDER."
3237,"Devuelvan la plata sinvergüenzas, resulta que si no hay stock no devuelven la plata, tengo una nota de crédito del 24 de febrero que aún no llega, compras del 20 de febrero sin stock, la plata cobrada y aún sin reversa. Por calle dicen que están en proceso, enserio 1 mes el proceso ?","
Devolución de dinero por compras sin stock."
3239,Ojo con la carne embasada del líder... esta saliendo con mal olor y mal gusto!🤮🤢,"

Calidad de los productos de Walmart."
3242,"Desde él 25 de enero estoy esperando la devolución del dinero de mi compra y esta es la fecha que aun nada que la realizan, lo peor es que fue un tema de ustedes, necesito por favor que resuelvan el caso","
Devolución de dinero."
3245,Ayer fui al lider y muy pocas ofertas a 1000 .,"

Ofertas en Wallmart."
3248,Sr lider el dia 21 de febrero hice 2 compras y no tenian el producto hasta la fecha aun no me hacen la devolucion del dinero To estoy esperando desde el dia 21 la devolucion de mi dinero,"
Devolución de dinero."
3251,"Por igualdad, dignidad y equidad, devuelvanme lo que me corresponde. Hice una devolucion de un producto hace mas de 1 año. Aun no recibo lo que pague...mi dinero. He mandado muchos mail con la informacion requerida...sigo esperando. Me responderan que se contactaran conmigo a la brevedad. 🤔. Sequire esperando.","
Devolución de producto y reclamo de dinero."
3251,"Por igualdad, dignidad y equidad, devuelvanme lo que me corresponde. Hice una devolucion de un producto hace mas de 1 año. Aun no recibo lo que pague...mi dinero. He mandado muchos mail con la informacion requerida...sigo esperando. Me responderan que se contactaran conmigo a la brevedad. 🤔. Sequire esperando.","
Reclamo por devolución de producto."
3252,"Buenas tardes, me comunico por este medio ya que no tienen la decencia de contestar llamados ni mensajes Me estafaron en mi pedido, no llegaron varias cosas que salen en la boleta! Primera vez que compro en líder y me lleve tremenda decepción, es entendible que no haya stock deProductos pero no por eso dejar en laBoleta y que los pague! Exijo una solución, son terrible","
Quejas sobre un pedido realizado en Wallmart."
3254,"Consulta ???, líder está exento de enviar boleta? , llego muchas semanas haciendo pedido por la app y no me envían la boleta","
Solicitud de boleta de compra."
3259,Anulación de pedido 4081511 aún no me mandan nota de crédito una vergüenza líder.cl,"

Reclamo por anulación de pedido."
3262,@lider_cl cómo puedes ser que aún nadie me responde por haberme mandado 5 productos vencidos?? Que tampoco puedo ir a cambiar al líder porque están vencidos y así es su política de devolución. Pésimo servicio. @toti.herrera @diegogracia13,"
Servicio al cliente de Wallmart."
3272,"Hola. Realicé una compra en lider.cl el 19 de febrero. De partida l pedido no llegó en la fecha programada, llegó al otro día! En la boleta me cobraron 2 unidades del mismo producto, pero sólo venía 1 unidad. Fui al supermercado a efectuar el reclamo, no pasó nada. Llamé al servicio al cliente y puse otro reclamo. A la fecha aún no me reembolsan el dinero. El número de caso es el 4066657. Mi rut es 13.368.219-8 y la orden de compra es #O9736161908","
Reclamo por cobro indebido y retraso en la entrega de un pedido."
3273,"1000 productos a $1000 sin stock, no llaman para ofrecer reemplazos como te lo informan que lo harán al momento de preparar tu pedido y lo peor, deciden devolver menos del valor pagado, pésimo, ya tuve una mala experiencia la semana pasada y decidí volver a comprarles, nunca más!.","
Mala experiencia de compra en Wallmart."
3278,"Compre unas empanadas de queso, su vencimiento era el 26/02/22, y cuando las quize calentar estaban podridas, $2500 regalados a Lider","

Mala calidad de los productos de Wallmart."
3280,"Pésima atención, no recomiendo comprar en aplicación para entrega en Valparaíso.... 2 pedidos de casi 80.000 pesos que nunca llegaron y Lider  no se hace responsable, no me llaman y no me devuelven mi dinero.... Con lo compleja que esta la situación y yo aún no cuento con mi dinero para resolver una necesidad de despensa, nadie se hace responsable..... Me vi en la necesidad de comprar on line por temas de salud y hoy @lider_cl me tiene sin la opción de cubrir mis necesidades de alimentación porque no me importa devolverme mi dinero.... Como si el dinero sobrara.... Todo mal, no les compraré, no los recomiendo, pésima calidad de servicio, e atención clientes, de resolución de problemas, PERDIERON A UN CLIENTE aunque a ustedes les importa menos que un huevo! Por internet por @lider_cl no hay prácticamente nada!","

Mala atención al cliente y falta de responsabilidad por parte de Lider en un pedido de entrega en Valparaíso."
3282,Cuales mil  productos a mil en Parral con suerte hay 3 y no tienen stock..,"
Falta de stock en Wallmart Parral."
3286,"@LIDERcl estimados realice una compra desde santiago, para Arica con despacho este martes recién hoy miércoles me avisan qué hay productos que no están en la lista y que tendrán que cambiar le digo bueno, que el despacho estará desde las 9 a 11 hrs. Aún no llegar pésimo servicio.","

Mala experiencia de servicio al cliente."
3292,@LIDERcl el día 21 de febrero realicé un pedido por la app que nunca llegó y tampoco me reembolsan el dinero. He ll… https://t.co/BGmnmo0vlX,"
Reclamo por pedido realizado en la app de Lider que nunca llegó y no se ha recibido el reembolso del dinero."
3293,"💬 A propósito de mil productos a mil, compre 3 kilos de arroz y me salieron muchos gusanos, da que pensar que están vendiendo  productos vencidos","
Calidad de los productos de Wallmart."
3296,"Genial, pero ... las góndolas vacías, no reponen, y no en todos los lider están los mismos productos a mil.Como por ejemplo Lomo de atún.🤦‍♀️yo lo compré a 1.290 c/u el más barato 🙄","

La falta de disponibilidad de productos en Wallmart."
3302,"@LIDERcl hola, compré un pan y  estaba con hongos https://t.co/jgsKs7wSSg","
Calidad de los productos de Líder."
3310,"@LIDERcl líder central Maipú, repleto, haciendo fila más de 10 minutos y la cajera se niega a atender pq quiere ir al baño, deja el puesto solo! Supervisora brilla x su ausencia se le aviso y no hizo nada! De mal en peor","
Mal servicio al cliente."
3319,Hola rut 25.101.319-5CAS-4053431-R0Q4D9Te cuento un poco nuestro caso. compramos un juego de comedor en noviembre. Llego en diciembre con retardo... cabe destacar. cuando armamos nos dimos cuenta que la parte superior de la mesa no llego... llegaron 6 sillas y una base. He llamado un montón de veces y solo me dicen que tengo que esperar la llamada.. pero la.verdad ya hace tanto tiempo que ya no quiero el juego de comedor quiero el reembolso y devolver las sillas y la base que llego,"
Reclamo por producto incompleto."
3321,"@tamitacrrz hace más de un año deje de comprar fideos y arroz en el lider, vez que compraba a la semana estaba toda la despensa con gusano, lo raro es que pasaba solo cuando compraba en lider, mis compras en otros super ningún problema, la última vez que reclama (era la cuarta seguida en el lider) el chico de servicio al cliente con el cu ya a esa altura nos conociamos por tanto reclamo me mostró un vídeo de la bodega de almacenaje, u. Adco @carito.rojita almacenaje, un asco. Los guarenes corrían entre la mercadería, bolsas llenas de pupas de polillas... Horrir","
Servicio al cliente y calidad de los productos de Walmart."
3323,Almacen Juanny Juanny   Nos pasó lo mismo nunca llegaron más de una semana de atraso al final anulamos la compra y pedimos devolución,"

Devolución de compra en Wallmart."
3324,"@LIDERcl Trate de comprar un compu vía web y no lo hice ya que necesito la factura (por ese medio no se puede) me sugirieron comprarlo directamente en un local pero no puedo ir de local en local buscando el compu, hay manera de saber en que local esta disponible?","
Disponibilidad de productos."
3332,Todos los productos que vende el líder son malos sobre todo la carne que la tienen pero semana y semana la hediondez carne compuesta que ya la gente se queja venden lo más malo el líder porque libre es lo más malo carne hedionda que venden arroz salen gusanos pájaros salen en el arroz por qué pero la gente no tiene que comprar la cosa $1000 porque ese la cosa lo más malo que venden eso lo sobrado que quieran del líder y los ponen a $1000 cuánto tiempo están lo malo yo no confío en el supermercado el líder no confío porque la gente sale lo más malo y lo que está comprando lo que consumimos es lo más malo los baratos y lo malo qué asco,"

Calidad de productos en Wallmart."
3341,"No recomendaría comprar en líder.cl se ejecuta la compra,  no llega nada yd después de un mes te dicen que no había stock, mal, malo todo.","
Calidad de servicio de líder.cl"
3342,Me estan pidiendo nuevamente mis datos por la compra que aún no entregan MEDIA_MESSAGE,"

Demora en el envío de un pedido."
3343,"Monica Vega Acevedo me pasó algo.similar, pero al parecer en transporte metieron las manos a mis.bolsas para sacar cosas a su antojo, Porque.nunca las envían selladas. Cuento corto, no me regresaron ni el 10% de mi dinero..desde entonces sólo compro pañales y pocos artículos de aseo, Porque dudo se lo puedan comer. Lo otro que hago es con pick up cuando se trata de alimentos.","

Robo de bienes en transporte de Wallmart."
3343,"Monica Vega Acevedo me pasó algo.similar, pero al parecer en transporte metieron las manos a mis.bolsas para sacar cosas a su antojo, Porque.nunca las envían selladas. Cuento corto, no me regresaron ni el 10% de mi dinero..desde entonces sólo compro pañales y pocos artículos de aseo, Porque dudo se lo puedan comer. Lo otro que hago es con pick up cuando se trata de alimentos.","
Fraude en el transporte de Wallmart."
3345,El 3 de febrero hice una compra que no llego y aun nadie me contacta para la devolución 🤦🏽‍♀️🤦🏽‍♀️,"
Devolución de una compra."
3348,Lider no el Ariel no es reemplazable para la ropa blanca .traen muy poco. .pero ya encontré en otra parte el.mismo. .gracias,"

La disponibilidad de productos en Wallmart."
3354,"Rosa Muñoz Ramirez no compre en líder.cl, en diciembre hice una compra y llegó el producto roto, aún espero la devolución del dinero.","
Devolución de dinero por producto roto."
3365,@danakotyta @LIDERcl pasa mucho con las cecinas selladas al vacío se infla el envase en el refrigerador se perdió la cadena de frío bacterias al sellar un asco! Ya me paso en jamón  y salame!,"

Calidad de los alimentos envasados al vacío en Wallmart."
3366,Quise comprar en la app y todo agotado!! Irán a reponer stock????,"
Disponibilidad de stock en la app de Wallmart."
3373,"Fui a @LIDERcl, cuando pagué me preguntaron si quería la boleta al correo, dije que sí y nunca llegó. La pedí por WhatsApp, me ignoraron. La pedí por teléfono y 2 días dp me mandaron un correo diciendo que solo la puedo pedir en el super donde compré. Se dan cuenta de la tontera?","

La falta de atención al cliente por parte de LIDER."
3375,"No compren el líder , no hay stock de productos y  te hacen esperar tres meses para darte una respuesta , después te ofrecen una compensación por los malos ratos y no lo hacen ,además de los malos tratos de la gente que gestiona los reclamos , la.peor experiencia comprando !!!!! No compren el líder , no hay stock de productos y  te hacen esperar tres meses para darte una respuesta , después te ofrecen una compensación por los malos ratos y no lo hacen ,además de los malos tratos de la gente que gestiona los reclamos , la.peor experiencia comprando !!!!! No compren el líder , no hay stock de productos y  te hacen esperar tres meses para darte una respuesta , después te ofrecen una compensación por los malos ratos y no lo hacen ,además de los malos tratos de la gente que gestiona los reclamos , la.peor experiencia comprando !!!!!","

Experiencia negativa al comprar en Wallmart."
3376,Hola otra consulta estaba viendo en la pagina online y varios productos salen agotado...  Estos ya no tendrán mas stock hasta fines de marzo o es que ya se acabaron... o habrá reposición de productos y por el momento esta agotado?,"
Disponibilidad de productos en Wallmart."
3378,@LIDERcl Aún espero devuelvan los pesos mi club que gasté en una compra que NO entregaron!Ineficientes!!! @SERNAC https://t.co/pPJ9rhiTbo,"

Reclamo por una compra no entregada."
3387,"Arreglen la página. Llevo mucho rato intentando comprar porque se cae todo el tiempo. Si sigue así, me tendré que cambiar a jumbo","
Experiencia de compra de Wallmart."
3388,"MEDIA_MESSAGE MEDIA_MESSAGE MEDIA_MESSAGE Sazonador marca Líder, con gusano a su interior. Asquerosa e indignante situación","

Calidad de productos de Walmart."
3392,"pidieron un avance a mi nombre siendo que yo jamás he tenido esa opcion ,hice el reclamo y ya va a ser un mes sin respuesta y ya voy a pagar la segunda cuota🤬","

Reclamo por un avance financiado sin autorización."
3394,Es mas falso todo a mil antes era bueno ahora ningún brilló Nunca hay producto. Fui diferente. Horarios nada mas falso que PIÑERA MIENTEN!!!!,"

El mal servicio de Wallmart."
3395,Cuando vas a un lider no tienen los productos a mil agotados varios al final termino llendo a unimarc siempre tiene stock en sala,"

Falta de existencias en Wallmart."
3397,"@LIDERcl hola! Ayer hice una compra por Internet y al recibirlo, las bolsas venían mojadas en el fondo, se desfondaron. Resulta que TODAS LAS COSAS venían sin Cadena de frío. Así venia mi helado.Les escribí por WhatsApp, dijeron que me conectarían con ejecutivos y quede esperando https://t.co/Wf1jcb7PtQ","

Queja por mal estado de los productos recibidos al hacer una compra por internet y falta de cadena de frío."
3407,"La página es muy mala. Me cierra la sesión, se cae y borra todos los productos del carrito de compras 🥺","
Experiencia del usuario con la página web de Wallmart."
3413,DESDE EL DIA 18 FEBRERO ESPERO DEVOLUCION DE MI DINERO PPR COMPRA NO ENTREGADA Y PROBLEMAS DE SU SISTEMA.,"
Devolución de dinero por compra no entregada."
3414,"Celia ELena Yanez Desde el 20 de Octubre, día en que hice una compra de Supermercado a traves de LIDER.CL, estoy esperando la devolución por productos pagados y que no fueron despachados por un valor de $55.564. Han pasado 4 meses, es tiempo suficiente y no me reintegran nada. Llamo a la linea de atención, y me dicen que van dejar una nota en mi caso de reclamación 3989452. Me siento insatisfecho con este servicio, he dejado de seguir comprando por lo mismo. No hay una oficina o algun fucnionario distintos a los del Call Center que puedas gestionar al respecto. Voy a tener que denunciar ante el SERNAC y funarlos públicamente en las redes sociales. Desde el 20 de Octubre, día en que hice una compra de Supermercado a traves de LIDER.CL, estoy esperando la devolución por productos pagados y que no fueron despachados por un valor de $55.564. Han pasado 4 meses, es tiempo suficiente y no me reintegran nada. Llamo a la linea de atención, y me dicen que van dejar una nota en mi caso de reclamación 3989452. Me siento insatisfecho con este servicio, he dejado de seguir comprando por lo mismo. No hay una oficina o algun fucnionario distintos a los del Call Center que puedas gestionar al respecto. Voy a tener que denunciar ante el SERNAC y funarlos públicamente en las redes sociales. Desde el 20 de Octubre, día en que hice una compra de Supermercado a traves de LIDER.CL, estoy esperando la devolución por productos pagados y que no fueron despachados por un valor de $55.564. Han pasado 4 meses, es tiempo suficiente y no me reintegran nada. Llamo a la linea de atención, y me dicen que van dejar una nota en mi caso de reclamación 3989452. Me siento insatisfecho con este servicio, he dejado de seguir comprando por lo mismo. No hay una oficina o algun fucnionario distintos a los del Call Center que puedas gestionar al respecto. Voy a tener que denunciar ante el SERNAC y funarlos públicamente en las redes sociales.","

Insatisfacción con el servicio de devolución de productos por parte de Wallmart."
3415,"Desde el 20 de Octubre, día en que hice una compra de Supermercado a traves de LIDER.CL, estoy esperando la devolución por productos pagados y que no fueron despachados por un valor de $55.564. Han pasado 4 meses, es tiempo suficiente y no me reintegran nada. Llamo a la linea de atención, y me dicen que van dejar una nota en mi caso de reclamación 3989452. Me siento insatisfecho con este servicio, he dejado de seguir comprando por lo mismo. No hay una oficina o algun fucnionario distintos a los del Call Center que puedas gestionar al respecto. Voy a tener que denunciar ante el SERNAC y funarlos públicamente en las redes sociales. Desde el 20 de Octubre, día en que hice una compra de Supermercado a traves de LIDER.CL, estoy esperando la devolución por productos pagados y que no fueron despachados por un valor de $55.564. Han pasado 4 meses, es tiempo suficiente y no me reintegran nada. Llamo a la linea de atención, y me dicen que van dejar una nota en mi caso de reclamación 3989452. Me siento insatisfecho con este servicio, he dejado de seguir comprando por lo mismo. No hay una oficina o algun fucnionario distintos a los del Call Center que puedas gestionar al respecto. Voy a tener que denunciar ante el SERNAC y funarlos públicamente en las redes sociales. Desde el 20 de Octubre, día en que hice una compra de Supermercado a traves de LIDER.CL, estoy esperando la devolución por productos pagados y que no fueron despachados por un valor de $55.564. Han pasado 4 meses, es tiempo suficiente y no me reintegran nada. Llamo a la linea de atención, y me dicen que van dejar una nota en mi caso de reclamación 3989452. Me siento insatisfecho con este servicio, he dejado de seguir comprando por lo mismo. No hay una oficina o algun fucnionario distintos a los del Call Center que puedas gestionar al respecto. Voy a tener que denunciar ante el SERNAC y funarlos públicamente en las redes sociales.","
La insatisfacción de un cliente con el servicio de devolución de productos de Lider.cl."
3416,"Desde el 20 de Octubre, día en que hice una compra de Supermercado a traves de LIDER.CL, estoy esperando la devolución por productos pagados y que no fueron despachados por un valor de $55.564. Han pasado 4 meses, es tiempo suficiente y no me reintegran nada. Llamo a la linea de atención, y me dicen que van dejar una nota en mi caso de reclamación 3989452. Me siento insatisfecho con este servicio, he dejado de seguir comprando por lo mismo. No hay una oficina o algun fucnionario distintos a los del Call Center que puedas gestionar al respecto. Voy a tener que denunciar ante el SERNAC y funarlos públicamente en las redes sociales. Desde el 20 de Octubre, día en que hice una compra de Supermercado a traves de LIDER.CL, estoy esperando la devolución por productos pagados y que no fueron despachados por un valor de $55.564. Han pasado 4 meses, es tiempo suficiente y no me reintegran nada. Llamo a la linea de atención, y me dicen que van dejar una nota en mi caso de reclamación 3989452. Me siento insatisfecho con este servicio, he dejado de seguir comprando por lo mismo. No hay una oficina o algun fucnionario distintos a los del Call Center que puedas gestionar al respecto. Voy a tener que denunciar ante el SERNAC y funarlos públicamente en las redes sociales. Desde el 20 de Octubre, día en que hice una compra de Supermercado a traves de LIDER.CL, estoy esperando la devolución por productos pagados y que no fueron despachados por un valor de $55.564. Han pasado 4 meses, es tiempo suficiente y no me reintegran nada. Llamo a la linea de atención, y me dicen que van dejar una nota en mi caso de reclamación 3989452. Me siento insatisfecho con este servicio, he dejado de seguir comprando por lo mismo. No hay una oficina o algun fucnionario distintos a los del Call Center que puedas gestionar al respecto. Voy a tener que denunciar ante el SERNAC y funarlos públicamente en las redes sociales. Desde el 20 de Octubre, día en que hice una compra de Supermercado a traves de LIDER.CL, estoy esperando la devolución por productos pagados y que no fueron despachados por un valor de $55.564. Han pasado 4 meses, es tiempo suficiente y no me reintegran nada. Llamo a la linea de atención, y me dicen que van dejar una nota en mi caso de reclamación 3989452. Me siento insatisfecho con este servicio, he dejado de seguir comprando por lo mismo. No hay una oficina o algun fucnionario distintos a los del Call Center que puedas gestionar al respecto. Voy a tener que denunciar ante el SERNAC y funarlos públicamente en las redes sociales.","

Insatisfacción con el servicio de devolución de productos por parte de LIDER.CL."
3425,@Black_Valmont @LIDERcl Mi viejo hace mas de un mes compro un juego de dormitorio hasta el momento solo le a llegado el respaldo la base y los veladores según ellos el colchón viene en la guia de despacho de otro camion a llamado todos los días y ninguna solución 🤦🏻‍♀️,"

Demora en la entrega de un producto adquirido en Wallmart."
3428,ya no son ni 100 productos a mil xd y todo reducido y mas caro q la mierda.. váyanse a csm!!!!,"

Descontento con los precios de los productos en Walmart."
3433,@fabiolitapas es verdad.. nunca hay stock de todo lo que ofrecen,"
Falta de stock en Wallmart."
3438,Gabriela Caroca Berríos me paso lo.mismo con una compra de mercadería de 145 mil pesos hecha el 3 de diciembre del 2021 y la compra no llego y mi devolución todavía la espero!!!! 🤬🤬🤬🤬😈,"
Devolución de productos comprados en Wallmart."
3445,"@lider_cl bien, estoy esperando respuesta al DM, envié lo solicitado, si no me llega respuesta voy a proceder hacerlo con sernac, no seguiré esperando, creo que es un aprovechamiento lo que hacen con las personas.","
La falta de respuesta por parte de Lider al DM del cliente."
3455,"Hola, hasta cuando dura el Líder con productos a mil pesos??","
Promociones de Wallmart."
3460,"Hola, hice un pedido elOtro día, y el jamón venía malo MEDIA_MESSAGE El jamón la preferida","

Calidad del producto de Wallmart."
3467,Lo peor!!! compre un Spa en noviembre y aun no llega!!😡😡 perdida de tiempo y reclamos y aun nada!! De un lado para otro sin solución ni de sernac que son otros chantas,"

Mala experiencia de compra en Wallmart."
3469,"@LIDERcl recebimos las compras de @JumboChile por @CornershopHQ en Las Vertientes Cajon de Maipo, estamos distante menos de 15 minutos de Lider Mall Tobalaba y uds no nos entregan las compras??? 😡","

La falta de entrega de compras por parte de Lider."
3472,"No es tanto la devolución del producto o el dinero, pero es q regalen algo q venció hace 2 meses y medio y peor aun q su cadena de rotación fuera de casi 3 meses en q debía estar fuera de comercialización ese producto","
Gestión de calidad de productos."
3473,"@LIDERcl acabo de recibir una compra de televisor 50 más celular Samsung, el celular no me lo entregaron y no me hicieron firmar ninguna guia, según ellos que el celular viene en otro camión, como se que eso es cierto y no se apropiaron del teléfono?","

Reclamo por entrega incompleta de productos."
3479,"Hoy buena parte de los productos a 1000 no estaban disponibles ni en la app ni en la pagina internet. De hecjo hoy me demorė casi tres horas en hacer un pedido  ya que comence en la app y la mitad de los producros que queria  no los pude seleccionar al llamar al servicio al clientw la unica ayusa fue que lo hiciera por onternet y adivinen qué,  tampoco eesulto y de hecho pese a todo terminé el pedido y fui a pagar y no pude. Respuesta servicio al cliente  fue que tratara mas tarde o lo hicieea de nuevo en otro momento.Un mal chiste","
Servicio al cliente de Wallmart."
3487,Hasta cuando tengo que esperar mi devolución de un pedido que uds anularon porque no tenían sistema. Estoy desde febrero esperando Hasta cuando tengo que esperar mi devolución de un pedido que uds anularon porque no tenían sistema. Estoy desde febrero esperando Hasta cuando tengo que esperar mi devolución de un pedido que uds anularon porque no tenían sistema. Estoy desde febrero esperando Hasta cuando tengo que esperar mi devolución de un pedido que uds anularon porque no tenían sistema. Estoy desde febrero esperando,"

Demora en la devolución de un pedido anulado por falta de sistema."
3491,@LIDERcl Hasta cuando tengo que esperar mi devolución de un pedido que uds anularon porque no tenían sistema. Estoy desde febrero esperando @SERNAC @LIDERcl Hasta cuando tengo que esperar mi devolución de un pedido que uds anularon porque no tenían sistema. Estoy desde febrero esperando!!,"

Devolución de un pedido anulado por falta de sistema."
3498,"@LIDERcl ingreso a la pagina del líder y todo sale agotado, no me permite comprar nada. Tienen algún problema para compra online ?","
Problemas con la compra online en Líder."
3500,Fui al líder de San Vicente y  lo único producto a mil eran galletas cereales y snacks nada de los productos básicos que uno necesita para el hogar lo que realmente es importante están al mismo precio niun brillo el todo a Luca si golosinas no sirven de nada,"

La falta de productos básicos para el hogar a precios bajos en el Walmart de San Vicente."
3508,Lider entonces no publiquen que el despacho es gratis a todo Chile.... Acá en tomé tampoco llega y soy muy buen cliente.... Que pena Sandra Alvarez publicidad engañosa,"
Publicidad engañosa."
3510,Los patudos dicen mil productos y apenas hay como 30 productos pencas.,"

La falta de existencias en Wallmart."
